Rodzaj_obiektu,Miesiac,Turyści_Ogółem,Turyści_Zagraniczni,Rok,Turyści_Krajowi
"Kwatery agroturystyczne 
Agrotourism lodgings",III,5679.0,239.0,2019,5440.0
"Pozostałe niesklasyfikowane 
Other not classified",III,57573.0,7412.0,2019,50161.0
O G Ó Ł E M                       2018           ,IV,2467756.0,537516.0,2019,1930240.0
T O T A L                            2019            ,IV,2460560.0,572335.0,2019,1888225.0
"Obiekty hotelowe 
Hotels and similar establishments",IV,2010010.0,514438.0,2019,1495572.0
"Hotele 
Hotels",IV,1751713.0,472946.0,2019,1278767.0
"Motele  
Motels",IV,17407.0,0.0,2019,17407.0
"Pensjonaty 
Boarding house",IV,36856.0,0.0,2019,36856.0
"Inne obiekty hotelowe 
Other hotel establishments",IV,204034.0,35742.0,2019,168292.0
"Pozostałe obiekty noclegowe
Other establishments ",IV,450550.0,0.0,2019,450550.0
"Domy wycieczkowe 
Excursion hostels",IV,5101.0,285.0,2019,4816.0
"Schroniska 
Shelters",IV,11093.0,277.0,2019,10816.0
"Schroniska młodzieżowe 
Youth shelters",IV,6489.0,980.0,2019,5509.0
"Szkolne schroniska młodzieżowe
School youth shelters",IV,21978.0,0.0,2019,21978.0
"Ośrodki wczasowe 
Holiday centres",IV,81658.0,7707.0,2019,73951.0
"Ośrodki kolonijne 
Holiday youth centres",IV,4215.0,131.0,2019,4084.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",IV,63938.0,3391.0,2019,60547.0
"Domy pracy twórczej 
Creative arts centres",IV,2911.0,151.0,2019,2760.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",IV,8361.0,0.0,2019,8361.0
"Kempingi 
Camping sites",IV,2797.0,1137.0,2019,1660.0
"Pola biwakowe  
Tent camp sites",IV,1032.0,0.0,2019,1032.0
"Hostele 
Hostels",IV,65840.0,21445.0,2019,44395.0
"Zakłady uzdrowiskowe 
Health establishments",IV,66726.0,3513.0,2019,63213.0
"Pokoje gościnne 
Rooms for guests",IV,45129.0,6991.0,2019,38138.0
"Kwatery agroturystyczne 
Agrotourism lodgings",IV,7087.0,276.0,2019,6811.0
"Pozostałe niesklasyfikowane 
Other not classified",IV,56195.0,6633.0,2019,49562.0
O G Ó Ł E M                       2018           ,V,3012555.0,634551.0,2019,2378004.0
T O T A L                            2019            ,V,3280645.0,678617.0,2019,2602028.0
"Obiekty hotelowe 
Hotels and similar establishments",V,2485097.0,605527.0,2019,1879570.0
"Hotele 
Hotels",V,2139199.0,557420.0,2019,1581779.0
"Motele  
Motels",V,22090.0,0.0,2019,22090.0
"Pensjonaty 
Boarding house",V,57552.0,0.0,2019,57552.0
"Inne obiekty hotelowe 
Other hotel establishments",V,266256.0,40147.0,2019,226109.0
"Pozostałe obiekty noclegowe
Other establishments ",V,795548.0,0.0,2019,795548.0
"Domy wycieczkowe 
Excursion hostels",V,12380.0,407.0,2019,11973.0
"Schroniska 
Shelters",V,17237.0,386.0,2019,16851.0
"Schroniska młodzieżowe 
Youth shelters",V,10091.0,1316.0,2019,8775.0
"Szkolne schroniska młodzieżowe
School youth shelters",V,42585.0,0.0,2019,42585.0
"Ośrodki wczasowe 
Holiday centres",V,174076.0,8927.0,2019,165149.0
"Ośrodki kolonijne 
Holiday youth centres",V,16612.0,62.0,2019,16550.0
"Ośrodki szkoleniowo-wypoczynkowe 
Training-recreational centres",V,123784.0,4353.0,2019,119431.0
"Domy pracy twórczej 
Creative arts centres",V,5102.0,197.0,2019,4905.0
"Zespoły domków turystycznych 
Complexes of tourist cottages",V,33368.0,0.0,2019,33368.0
"Kempingi 
Camping sites",V,13742.0,7489.0,2019,6253.0
"Pola biwakowe  
Tent camp sites",V,2886.0,0.0,2019,2886.0
"Hostele 
Hostels",V,78689.0,21048.0,2019,57641.0
"Zakłady uzdrowiskowe 
Health establishments",V,77457.0,4608.0,2019,72849.0
"Pokoje gościnne 
Rooms for guests",V,75394.0,8571.0,2019,66823.0
"Kwatery agroturystyczne 
Agrotourism lodgings",V,15087.0,680.0,2019,14407.0
"Pozostałe niesklasyfikowane 
Other not classified",V,97058.0,9047.0,2019,88011.0
O G Ó Ł E M                       2018           ,VI,3389729.0,685380.0,2019,2704349.0
T O T A L                            2019            ,VI,3605839.0,725767.0,2019,2880072.0
"Obiekty hotelowe 
Hotels and similar establishments",VI,2612375.0,630508.0,2019,1981867.0
"Hotele 
Hotels",VI,2223051.0,575032.0,2019,1648019.0
"Motele  
Motels",VI,20829.0,0.0,2019,20829.0
"Pensjonaty 
Boarding house",VI,67845.0,0.0,2019,67845.0
"Inne obiekty hotelowe 
Other hotel establishments",VI,300650.0,46775.0,2019,253875.0
